payment_id,order_id,payment_method,amount,transaction_status
1,1,"Credit Card",232.15,Completed
2,2,"Credit Card",454.44,Completed
3,3,"Credit Card",26.14,Completed
4,4,"Credit Card",985.7,Completed
5,5,"Credit Card",733.32,Completed
6,6,"Credit Card",629.36,Completed
7,7,"Credit Card",461.51,Completed
8,8,"Credit Card",464.73,Completed
9,9,"Credit Card",351.12,Completed
10,10,"Credit Card",480.13,Completed
11,11,"Credit Card",623.76,Completed
12,12,"Credit Card",916.1,Completed
13,13,"Credit Card",432.81,Completed
14,14,"Credit Card",78.33,Completed
15,15,"Credit Card",2.14,Completed
16,16,"Credit Card",994.2,Completed
17,17,"Credit Card",121.68,Completed
18,18,"Credit Card",585.28,Completed
19,19,"Credit Card",435.68,Completed
20,20,"Credit Card",138.48,Completed
21,21,"Credit Card",230.95,Completed
22,22,"Credit Card",326.04,Completed
23,23,"Credit Card",25.68,Completed
24,24,"Credit Card",75.72,Completed
25,25,"Credit Card",244.1,Completed
26,26,"Credit Card",7.71,Completed
27,27,"Credit Card",355.8,Completed
28,28,"Credit Card",908.2,Completed
29,29,"Credit Card",245.15,Completed
30,30,"Credit Card",128.52,Completed
31,31,"Credit Card",976,Completed
32,32,"Credit Card",731.79,Completed
33,33,"Credit Card",84.24,Completed
34,34,"Credit Card",781.74,Completed
35,35,"Credit Card",237.45,Completed
36,36,"Credit Card",584.16,Completed
37,37,"Credit Card",349.68,Completed
38,38,"Credit Card",64.23,Completed
39,39,"Credit Card",947.8,Completed
40,40,"Credit Card",134.12,Completed
41,41,"Credit Card",636.24,Completed
42,42,"Credit Card",143.52,Completed
43,43,"Credit Card",211.45,Completed
44,44,"Credit Card",620.32,Completed
45,45,"Credit Card",444.29,Completed
46,46,"Credit Card",307.74,Completed
47,47,"Credit Card",7.86,Completed
48,48,"Credit Card",67.95,Completed
49,49,"Credit Card",0.48,Completed
50,50,"Credit Card",244.05,Completed
51,51,"Credit Card",140.2,Completed
52,52,"Credit Card",1.38,Completed
53,53,"Credit Card",334.5,Completed
54,54,"Credit Card",87.93,Completed
55,55,"Credit Card",343.26,Completed
56,56,"Credit Card",36.98,Completed
57,57,"Credit Card",31.78,Completed
58,58,"Credit Card",73.86,Completed
59,59,"Credit Card",65.88,Completed
60,60,"Credit Card",143.28,Completed
61,61,"Credit Card",22.22,Completed
62,62,"Credit Card",561.04,Completed
63,63,"Credit Card",980.7,Completed
64,64,"Credit Card",74.61,Completed
65,65,"Credit Card",35.3,Completed
66,66,"Credit Card",797.58,Completed
67,67,"Credit Card",135.08,Completed
68,68,"Credit Card",948.4,Completed
69,69,"Credit Card",329.58,Completed
70,70,"Credit Card",614.88,Completed
71,71,"Credit Card",62.07,Completed
72,72,"Credit Card",247.3,Completed
73,73,"Credit Card",568.24,Completed
74,74,"Credit Card",771.84,Completed
75,75,"Credit Card",20.56,Completed
76,76,"Credit Card",134.24,Completed
77,77,"Credit Card",241.55,Completed
78,78,"Credit Card",33.92,Completed
79,79,"Credit Card",5.82,Completed
80,80,"Credit Card",620.56,Completed
81,81,"Credit Card",73.5,Completed
82,82,"Credit Card",238.4,Completed
83,83,"Credit Card",7.99,Completed
84,84,"Credit Card",143.44,Completed
85,85,"Credit Card",81.03,Completed
86,86,"Credit Card",931.2,Completed
87,87,"Credit Card",626.4,Completed
88,88,"Credit Card",347.28,Completed
89,89,"Credit Card",36.1,Completed
90,90,"Credit Card",37.38,Completed
91,91,"Credit Card",569.84,Completed
92,92,"Credit Card",80.04,Completed
93,93,"Credit Card",219.05,Completed
94,94,"Credit Card",137.36,Completed
95,95,"Credit Card",78.3,Completed
96,96,"Credit Card",25.96,Completed
97,97,"Credit Card",724.77,Completed
98,98,"Credit Card",319.86,Completed
99,99,"Credit Card",488.67,Completed
100,100,"Credit Card",30.12,Completed
101,101,"Credit Card",1.7,Completed
102,102,"Credit Card",976.8,Completed
103,103,"Credit Card",68.85,Completed
104,104,"Credit Card",152.64,Completed
105,105,"Credit Card",993.2,Completed
106,106,"Credit Card",65.46,Completed
107,107,"Credit Card",470.54,Completed
108,108,"Credit Card",438.69,Completed
109,109,"Credit Card",566.24,Completed
110,110,"Credit Card",61.86,Completed
111,111,"Credit Card",70.68,Completed
112,112,"Credit Card",201.65,Completed
113,113,"Credit Card",210.7,Completed
114,114,"Credit Card",944.8,Completed
115,115,"Credit Card",125.52,Completed
116,116,"Credit Card",82.32,Completed
117,117,"Credit Card",745.92,Completed
118,118,"Credit Card",154.52,Completed
119,119,"Credit Card",76.41,Completed
120,120,"Credit Card",67.56,Completed
121,121,"Credit Card",207.75,Completed
122,122,"Credit Card",149.4,Completed
123,123,"Credit Card",421.47,Completed
124,124,"Credit Card",39.02,Completed
125,125,"Credit Card",966.5,Completed
